dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,dml_quantile_penalty,dml_ridge_alpha,dml_quantile_solver,dml_qr_fit_count,dml_runtime_mean_alpha_sec,dml_runtime_max_alpha_sec,dml_qr_nonzero_mean,dml_z_resid_var_mean,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp2,500,500,0.1,0.25,0,5443369904443752480,dml_ivqr,2.8000000000000003,0.3255102498039183,2.474489750196082,2.474489750196082,6.123099523825467,ok,False,True,,,1.0879082622515328,3.0,1.9120917377484672,False,False,False,True,True,10,0.47619047619047616,1,False,1.9120917377484672,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.001230144318407351,7.832924938580173,0.001230144318407351,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,65.09991280001123,65.09991280001123,,65.09991280001123,65.03438609995646,0.0010698999976739287,,0.000882500025909394,65.09991280001123,0.0635743000311777,,,65.03438609995646,,0.0010698999976739287,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.09686992380635,3.3217410999932326,211.46031746031747,3.15054309474311,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,1,3276341512059057779,dml_ivqr,-1.0,0.3255102498039183,-1.3255102498039184,1.3255102498039184,1.7569774223352461,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,True,False,True,0,0.0,0.7291442619048708,3.775674705928889,0.7291442619048708,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,66.54118300002301,66.54118300002301,,66.54118300002301,66.4816527000512,0.0008736000163480639,,0.0009259999496862292,66.54118300002301,0.05773070000577718,,,66.4816527000512,,0.0008736000163480639,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.1657873714298366,3.398533200030215,214.5079365079365,2.8407408391785096,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,2,1751579358834286689,dml_ivqr,1.2000000000000002,0.3255102498039183,0.8744897501960819,0.8744897501960819,0.7647323231980057,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.00010658589048682724,0.4609014760969224,0.00010658589048682724,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,66.04392230004305,66.04392230004305,,66.04392230004305,65.98436529998435,0.0011307999957352877,,0.0012524000485427678,66.04392230004305,0.05717380001442507,,,65.98436529998435,,0.0011307999957352877,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.1421071047634106,3.5732627999968827,216.20634920634922,3.2340856423599784,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,3,6705704668292774247,dml_ivqr,1.6,0.3255102498039183,1.2744897501960817,1.2744897501960817,1.6243241233548706,ok,False,True,,,-0.8289889053799022,2.5480806837740153,2.9223833625841458,False,True,False,False,False,15,0.7142857142857143,2,True,3.3770695891539173,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.03934923992934753,6.289221620750496,0.03934923992934753,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,65.89165970002068,65.89165970002068,,65.89165970002068,65.8365587000153,0.0007243999862112105,,0.0006930000381544232,65.89165970002068,0.053683599981013685,,,65.8365587000153,,0.0007243999862112105,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.1350694238097363,3.3864716999814846,212.63492063492063,3.3056347278870803,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,4,6343718395380566197,dml_ivqr,1.6,0.3255102498039183,1.2744897501960817,1.2744897501960817,1.6243241233548706,ok,False,True,,,-0.6917862643232084,3.0,3.173550985976639,False,True,False,True,True,16,0.7619047619047619,3,True,3.691786264323208,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.46058352915492734,6.360764919270095,0.46058352915492734,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,66.61328529997263,66.61328529997263,,66.61328529997263,66.55654069996672,0.0009394999942742288,,0.0010616000508889556,66.61328529997263,0.05474349996075034,,,66.55654069996672,,0.0009394999942742288,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.169353576191324,3.4650210000108927,217.53968253968253,2.947632497550789,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,0,929846494630622916,dml_ivqr,1.8000000000000003,1.0,0.8000000000000003,0.8000000000000003,0.6400000000000005,ok,False,True,,,-1.0,3.0,2.80034497257151,False,True,True,True,True,14,0.6666666666666666,4,True,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.9184020377602031,6.298803993026145,0.9184020377602031,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,75.28792179998709,75.28792179998709,,75.28792179998709,75.24263920000521,0.0008205999620258808,,0.0011245000059716403,75.28792179998709,0.043337500013876706,,,75.24263920000521,,0.0008205999620258808,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.5829770333311033,3.975856599980034,250.74603174603175,3.0233187169255884,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,1,9174395711599958830,dml_ivqr,0.6000000000000001,1.0,-0.3999999999999999,0.3999999999999999,0.15999999999999992,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.00020297474488977573,2.0367110886316393,0.00020297474488977573,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,75.6470554000116,75.6470554000116,,75.6470554000116,75.60033009998733,0.00043509999522939324,,0.0006918000290170312,75.6470554000116,0.045598400000017136,,,75.60033009998733,,0.00043509999522939324,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.6000102904758284,4.057175099966116,253.33333333333334,3.0627603801533105,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,2,4678209227790743410,dml_ivqr,2.4000000000000004,1.0,1.4000000000000004,1.4000000000000004,1.960000000000001,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0853685191088556,2.9094945315265033,0.0853685191088556,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,77.21325189998606,77.21325189998606,,77.21325189998606,77.169660799962,0.0008246000506915152,,0.0008604999748058617,77.21325189998606,0.04190599999856204,,,77.169660799962,,0.0008246000506915152,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.6747413047567186,4.2112067000125535,256.8888888888889,3.0415375149542405,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,3,8334348606518942113,dml_ivqr,1.6,1.0,0.6000000000000001,0.6000000000000001,0.3600000000000001,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0032301429743565426,1.9713153283543152,0.0032301429743565426,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,49.734995599952526,49.734995599952526,,49.734995599952526,49.69500650005648,0.00040360004641115665,,0.0007487998227588832,49.734995599952526,0.038836700026877224,,,49.69500650005648,,0.00040360004641115665,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,2.366424595241413,3.3363707999815233,247.28571428571428,3.71878463379081,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,4,8974968178208391982,dml_ivqr,-1.0,1.0,-2.0,2.0,4.0,ok,False,True,,,-1.0,3.0,3.503332563690435,False,True,True,True,True,19,0.9047619047619048,2,True,4.0,-1.0,3.0,21,0.2,True,False,True,0,0.0,0.006304024314603516,5.338940473219235,0.006304024314603516,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,49.1853416999802,49.1853416999802,,49.1853416999802,49.15022599999793,0.00032079999800771475,,0.0004616000223904848,49.1853416999802,0.0343332999618724,,,49.15022599999793,,0.00032079999800771475,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,2.340483328568683,2.9989624000154436,252.95238095238096,3.0371407192928124,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.75,0,1808592947271104310,dml_ivqr,0.0,1.6744897501960816,-1.6744897501960816,1.6744897501960816,2.803915923511736,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.007734593562354408,2.479269223886325,0.007734593562354408,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,66.37607960001333,66.37607960001333,,66.37607960001333,66.33057839999674,0.0005824000108987093,,0.0006043000030331314,66.37607960001333,0.04431450000265613,,,66.33057839999674,,0.0005824000108987093,,,,,,,,,,,,,,,,0.01,1.0,highs-ipm,63,3.1585939428602745,3.397194600023795,214.0,3.379863539458348,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
