dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,dml_quantile_penalty,dml_ridge_alpha,dml_quantile_solver,dml_qr_fit_count,dml_runtime_mean_alpha_sec,dml_runtime_max_alpha_sec,dml_qr_nonzero_mean,dml_z_resid_var_mean,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp2,500,500,0.1,0.25,0,5443369904443752480,dml_ivqr,0.20000000000000018,0.3255102498039183,-0.12551024980391812,0.12551024980391812,0.015752822805841928,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0008481729095496977,3.3048597785965628,0.0008481729095496977,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,29.180912899959367,29.180912899959367,,29.180912899959367,29.13176709995605,0.0009617000469006598,,0.0008100999402813613,29.180912899959367,0.04737400001613423,,,29.13176709995605,,0.0009617000469006598,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.3872216761893859,1.4857621000264771,4.174603174603175,3.15054309474311,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,1,3276341512059057779,dml_ivqr,-0.6,0.3255102498039183,-0.9255102498039183,0.9255102498039183,0.8565692224921112,ok,False,True,,,-1.0,2.990688433793391,3.990688433793391,False,True,True,False,True,20,0.9523809523809523,1,False,3.990688433793391,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.36077071628571705,3.9006330021382016,0.36077071628571705,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,29.60684989998117,29.60684989998117,,29.60684989998117,29.557986699976027,0.000546799972653389,,0.0006188999977894127,29.60684989998117,0.04769750003470108,,,29.557986699976027,,0.000546799972653389,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.4075182333305878,1.553872600023169,4.619047619047619,2.8407408391785096,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,2,1751579358834286689,dml_ivqr,0.6000000000000001,0.3255102498039183,0.2744897501960818,0.2744897501960818,0.07534462296270739,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0019306248006941433,0.9166079577454048,0.0019306248006941433,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,29.645023299963214,29.645023299963214,,29.645023299963214,29.599916400038637,0.001060199982021004,,0.0009719999507069588,29.645023299963214,0.04307469999184832,,,29.599916400038637,,0.001060199982021004,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.409513419047774,1.5123186000273563,5.333333333333333,3.2340856423599784,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,3,6705704668292774247,dml_ivqr,2.8000000000000003,0.3255102498039183,2.474489750196082,2.474489750196082,6.123099523825467,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.03881026791290243,3.5033546389223438,0.03881026791290243,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,29.74077540001599,29.74077540001599,,29.74077540001599,29.696258799987845,0.0004800999886356294,,0.0006721000536344945,29.74077540001599,0.043364399985875934,,,29.696258799987845,,0.0004800999886356294,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.414103271434128,1.556432000012137,4.333333333333333,3.3056347278870803,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.25,4,6343718395380566197,dml_ivqr,2.8000000000000003,0.3255102498039183,2.474489750196082,2.474489750196082,6.123099523825467,ok,False,True,,,-0.23124514338805743,3.0,2.7645494145521625,False,True,False,True,True,15,0.7142857142857143,2,True,3.2312451433880574,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0019359650376558474,5.430816223912074,0.0019359650376558474,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,28.92667909996817,28.92667909996817,,28.92667909996817,28.880176900012884,0.0009388999897055328,,0.0008938999380916357,28.92667909996817,0.04466940002748743,,,28.880176900012884,,0.0009388999897055328,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.3752414809506652,1.5157030000118539,3.9047619047619047,2.947632497550789,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,0,929846494630622916,dml_ivqr,-1.0,1.0,-2.0,2.0,4.0,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,True,False,True,0,0.0,0.4895175898340263,2.668229742575745,0.4895175898340263,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,29.70528930000728,29.70528930000728,,29.70528930000728,29.668082399992272,0.0004619000246748328,,0.0005180999869480729,29.70528930000728,0.0362269000033848,,,29.668082399992272,,0.0004619000246748328,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.4127612952392414,1.5379918000544421,5.666666666666667,3.0233187169255884,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,1,9174395711599958830,dml_ivqr,-0.3999999999999999,1.0,-1.4,1.4,1.9599999999999997,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.0004081585139405343,0.7482198982955784,0.0004081585139405343,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,30.02490779996151,30.02490779996151,,30.02490779996151,29.98620129999472,0.00039899995317682624,,0.0006374000222422183,30.02490779996151,0.03767009999137372,,,29.98620129999472,,0.00039899995317682624,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.4279096761851438,1.5906664000358433,6.825396825396825,3.0627603801533105,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,2,4678209227790743410,dml_ivqr,2.0,1.0,1.0,1.0,1.0,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.00021015881610515622,0.7933002151259807,0.00021015881610515622,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,30.24214839999331,30.24214839999331,,30.24214839999331,30.208544699999038,0.0003882000455632806,,0.000561599968932569,30.24214839999331,0.032653899979777634,,,30.208544699999038,,0.0003882000455632806,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.4384972285784206,1.5624509999761358,7.063492063492063,3.0415375149542405,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,3,8334348606518942113,dml_ivqr,0.6000000000000001,1.0,-0.3999999999999999,0.3999999999999999,0.15999999999999992,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.16522451378992806,2.1289789792408964,0.16522451378992806,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,18.116503799974453,18.116503799974453,,18.116503799974453,18.078534699976444,0.00028009997913613915,,0.0006043000030331314,18.116503799974453,0.03708470001583919,,,18.078534699976444,,0.00028009997913613915,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,0.8608798761879803,1.2603443999541923,6.507936507936508,3.71878463379081,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.5,4,8974968178208391982,dml_ivqr,2.8000000000000003,1.0,1.8000000000000003,1.8000000000000003,3.240000000000001,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,False,False,False,0,0.0,0.005690425879518581,1.9869754952138337,0.005690425879518581,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,17.61079679999966,17.61079679999966,,17.61079679999966,17.5717848999775,0.00032590003684163094,,0.000644699961412698,17.61079679999966,0.03804130002390593,,,17.5717848999775,,0.00032590003684163094,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,0.8367484523748446,1.0641239000251517,6.380952380952381,3.0371407192928124,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
dgp2,500,500,0.1,0.75,0,1808592947271104310,dml_ivqr,-1.0,1.6744897501960816,-2.6744897501960816,2.6744897501960816,7.152895423903899,ok,False,True,,,-1.0,3.0,4.0,False,True,True,True,True,21,1.0,1,False,4.0,-1.0,3.0,21,0.2,True,False,True,0,0.0,0.42589665499347235,2.1794878128003714,0.42589665499347235,3.841458820694124,3.841458820694124,1.0,3.841458820694124,,29.690943699970376,29.690943699970376,,29.690943699970376,29.64517319999868,0.001065499964170158,,0.0007850999827496707,29.690943699970376,0.043919900024775416,,,29.64517319999868,,0.001065499964170158,,,,,,,,,,,,,,,,0.1,1.0,highs-ipm,63,1.4116697190468022,1.6386642000288703,2.2063492063492065,3.379863539458348,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,,ok; failed_alpha_points=0/21
